keywords,paragraph
technology|research and development,"The EU said national mitigation plans and adaptation policies should have a <span class=""highlight"">technology</span> component and that the institutional structure should be effective, flexible and innovative. The REPUBLIC OF KOREA said a fundamental change was needed in the IPR regime, and in public research and <span class=""highlight"">development</span> policy. Several developing parties underlined experience on IPR in other international regimes."
gef|financial mechanism,"<span class=""highlight"">FINANCIAL MECHANISM</span> (SBI):   During informal consultations, parties started discussing new draft text on the fourth review and on guidance to the <span class=""highlight"">GEF</span> proposed by Co-Chairs Fulton and Sethi. A group of developing countries also proposed text. No progress was reported. Informal consultations continued into the evening."
mitigation actions,"MITIGATION (AWG-LCA):   In the contact group, AWG-LCA Vice-Chair Cutajar identified clear differences on mitigation, including on differentiation among countries. He proposed focusing on recognizing and registering <span class=""highlight"">mitigation actions</span>."
mitigation actions|mrv|uncertainties|assigned amount units,"On registries, SOUTH AFRICA proposed a registry of nationally appropriate <span class=""highlight"">mitigation actions</span> in developing countries and setting targets for <span class=""highlight"">financial flows</span> to support such actions. The REPUBLIC OF KOREA said a registry should be voluntary. MADAGASCAR highlighted <span class=""highlight"">uncertainty</span> over impacts of a voluntary registry. AOSIS proposed also registering support measures and said financing could come from auctioning of <span class=""highlight"">AAUs</span>. BRAZIL agreed that the registry should bring actions and resources together. JAPAN stressed the importance of <span class=""highlight"">MRV</span> in relation to the registered actions. The EU suggested also registering outcomes of actions. INDIA stressed that there should be no review of adequacy of developing country actions."
baselines|mitigation actions,"The EU identified three types of <span class=""highlight"">mitigation actions</span> by developing countries: low-cost and win-win actions, with some international support to address barriers; appropriate additional actions supported by international resources; and further mitigation through international crediting mechanisms. PAPUA NEW GUINEA called attention to countries' respective capabilities. PAKISTAN highlighted lack of agreement that developing countries' <span class=""highlight"">emissions</span> should substantially deviate from <span class=""highlight"">baseline</span> levels."
funding|ldcs|ldc fund,"<span class=""highlight"">LDC</span> <span class=""highlight"">FUND</span> (SBI):   During informal consultations, parties discussed a draft text proposed by Co-Chairs Campbell and Sangarwe. No agreement was reached, and discussions are expected to continue on Wednesday."
nairobi work programme|nairobi work programme,"<span class=""highlight"">NAIROBI WORK PROGRAMME</span> (SBSTA):   In informal consultations, parties concluded consideration of the draft text, which contains draft conclusions and an annex. Parties agreed to have an expanded roster of experts, rather than a group of experts, and agreed to invite submissions on names for the roster. Parties also agreed on the issues to be forwarded to the SBI for its consideration. A contact group was subsequently convened, and the group agreed to the text."
privileges and immunities,"<span class=""highlight"">PRIVILEGES AND IMMUNITIES</span> (SBI):   During informal consultations, delegates agreed on short-term measures, including encouraging the Executive Secretary to implement Decision 9/CMP.2 and encouraging parties, where feasible, to provide adequate protection for individuals serving on constituted bodies established under the <span class=""highlight"">Kyoto Protocol</span>, until appropriate treaty provisions come into force."
article 9|privileges and immunities,"On long-term measures, delegates agreed on text to be included in a draft decision on the second review of the Protocol under <span class=""highlight"">Article 9</span>. The text would require the SBI to prepare appropriate treaty arrangements for <span class=""highlight"">privileges and immunities</span> for consideration at COP/MOP 5. It would further agree that Article 6 of the Convention on the <span class=""highlight"">Privileges and Immunities</span> of the United Nations should serve as a basis for the <span class=""highlight"">development</span> of appropriate treaty provisions."
redd,"<span class=""highlight"">REDD</span> (SBSTA):   Following lengthy informal consultations, delegates made progress on text regarding indigenous peoples, monitoring, and readiness, with provisional agreement reported on Tuesday evening."
nairobi work programme|nairobi work programme|mitigation actions,"Some delegates were talking about the AWG-LCA discussions on mitigation, particularly the proposal for a registry of nationally appropriate <span class=""highlight"">mitigation actions</span>. It feels like we're putting some meat on the bones of our discussions, said one delegate optimistically. There were also some smiling faces at the end of the negotiations on the <span class=""highlight"">Nairobi Work Programme</span> as the group completed its work on Tuesday afternoon."
financial mechanism|funding|adaptation fund|ldcs|ldc fund,"Elsewhere, the mood seemed less upbeat, with some frustration expressed after talks bogged down on the <span class=""highlight"">financial mechanism</span>, Adaptation <span class=""highlight"">Fund</span> and <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span>. Negotiators in the <span class=""highlight"">carbon capture and storage</span> talks also seemed disappointed not to have achieved any substantive outcome, although some suggested that the issue might be taken up during the high-level segment. Meanwhile, some were speculating that there might not be much substance in the AWG-KP's conclusions on agenda items 3, 4, 6 and 7, and that the reference to <span class=""highlight"">emission</span> ranges for Annex I parties would be omitted."
cooperative action|shared vision,"LONG-TERM <span class=""highlight"">COOPERATIVE ACTION</span>:   Chair Machado noted that a number of contact groups had met to discuss the assembly document, which deals with a <span class=""highlight"">shared vision</span>, mitigation, adaptation, and delivering on <span class=""highlight"">technology</span> and financing. He indicated that there had been 164 submissions in total for the assembly text, amounting to more than 1000 pages of input. He said this demonstrates the active interest and engagement of parties, and that this updated text will provide a strong basis for work in 2009 (FCCC/AWGLCA/2008/16/Rev.1)."
redd|emissions scenarios|technology transfer|technology|energy|business,"STATEMENTS FROM OBSERVER ORGANIZATIONS:   The INTERNATIONAL COUNCIL FOR SUSTAINABLE <span class=""highlight"">ENERGY</span> called for, _inter alia_: quantifiable mid- and long-term <span class=""highlight"">emission</span> reduction targets for industrialized countries; actions by developing countries to reduce <span class=""highlight"">emissions</span> below <span class=""highlight"">business</span>-as-usual <span class=""highlight"">scenarios</span>; and incentive structures for <span class=""highlight"">technology</span> transfer. <span class=""highlight"">INDIGENOUS PEOPLES </span>expressed concern over <span class=""highlight"">REDD</span> and proposed an expert group on <span class=""highlight"">indigenous peoples </span>and climate change."
redd,"<span class=""highlight"">REDD</span>:   Contact group Co-Chair Rosland reported on intense negotiations and some difficult moments over the past week, including a marathon session on Tuesday. However, he noted that the group had now completed its work. PAPUA NEW GUINEA suggested that the SBSTA had undershot what could have been achieved and that the AWG-LCA had moved too slowly to address the necessary policy issues. The SBSTA adopted the conclusions (FCCC/SBSTA/2008/L.23)."
cdm,"<span class=""highlight"">CCS</span> under the <span class=""highlight"">CDM</span>:   Co-Chair Wollansky reported that parties had considered two bracketed options, but that differences remained on forwarding bracketed text to the COP/MOP or to a later SBSTA session. Parties adopted short draft conclusions (FCCC/SBSTA/2008/L.21) and this matter will be taken up in SBSTA 30. The EU, SAUDI ARABIA, AUSTRALIA, NORWAY and JAPAN expressed regret that agreement had not been reached. JAMAICA noted that <span class=""highlight"">CCS</span> <span class=""highlight"">technology</span> is not ready for use in an offset mechanism such as the <span class=""highlight"">CDM</span>. BRAZIL highlighted concerns relating to long-term permanence and host-country liabilities."
redd,"STATEMENTS FROM OBSERVER ORGANIZATIONS:   TRADE UNIONS urged increased <span class=""highlight"">financial support</span> for adaptation. YOUTH said <span class=""highlight"">REDD</span> must not be used as a mechanism by which Annex I countries avoid their domestic <span class=""highlight"">emission</span> reduction obligations."
redd|funding,"REPORT OF THE SESSION:   The Secretariat outlined cost implications of SBSTA outcomes, noting that most would be covered through core resources or the Trust <span class=""highlight"">Fund</span> for Supplementary Activities. He noted that a request for a technical paper on <span class=""highlight"">REDD</span> would require voluntary contributions amounting to US$100,000. The SBSTA then adopted its report of the session (FCCC/SBSTA/2008/L.14), and Chair Plume closed the meeting at 6:15 pm."
adverse effects/impacts|advers effect policy,"<span class=""highlight"">ADVERSE EFFECTS</span> AND RESPONSE MEASURES: Decision 1/CP.10:   Several parties expressed regret at the lack of agreement on this issue, while others noted some progress. Chair Asadi said the issue would be on SBI 30's agenda."
technology|technology transfer,"<span class=""highlight"">TECHNOLOGY</span> TRANSFER:   Parties were briefed on the two contact groups that had considered different elements of this topic: the SBI group and the joint SBI/SBSTA group.     The SBI adopted draft conclusions relating to the EGTT, <span class=""highlight"">GEF</span> strategic programme, and the terms of reference for the <span class=""highlight"">review of implementation</span> of Convention Articles 4.1(c) and 4.5 (FCCC/SBI/2008/L.28 and Add.1)."
article 9|privileges and immunities,"<span class=""highlight"">PRIVILEGES AND IMMUNITIES</span>:   Co-Chair Oberthur reported agreement on SBI draft conclusions, as well as onâ€¯a draft COP/MOP decision, which was forwarded to the contact group on the second review of the Protocol under <span class=""highlight"">Article 9</span>. Parties adopted conclusions (FCCC/SBI/2008/L.20 and Add.1)."
gef|operating entity,"Report of the <span class=""highlight"">GEF</span> to the COP and guidance to the <span class=""highlight"">GEF</span>:   Chair Asadi noted lack of agreement on draft text and said bracketed text (SBI/FCCC/2008/L.30) would be forwarded to the COP Chair for his consideration. The G-77/CHINA expressed disappointment, stating that the Group has spent 15 years trying to make the <span class=""highlight"">GEF</span> as an <span class=""highlight"">operating entity</span> more responsive to the concerns of developing countries."
qelros,"REPORT OF THE SESSION:   Delegates adopted the AWG-KP's report of the resumed sixth session (FCCC/KP/AWG/2008/L.16). Chair Dovland said the AWG-KP had completed a very ambitious agenda in a very short period of time. Reflecting on his term as AWG-KP Chair, he said progress had been made during the past 12 months but that the AWG-KP is behind schedule. He urged focusing on new <span class=""highlight"">QELROs</span> for Annex I parties."
article 9|funding|adaptation fund,"Meanwhile, in some of the remaining COP/MOP negotiations, the <span class=""highlight"">Article 9</span> review group was reporting slow progress at 11:00 pm Wednesday night. However, delegates leaving the Adaptation <span class=""highlight"">Fund</span> talks at a similar hour were reporting some forward momentum, with the legal status of the Board as the only major outstanding issue."
cdm|article 9|cooperative action|shared vision|funding|adaptation fund,"On Thursday, the high-level segment of the COP and COP/MOP began, with statements from more than 50 ministers and other heads of delegation continuing into the evening. An informal ministerial round table was also held, with participants discussing a <span class=""highlight"">shared vision</span> for long-term <span class=""highlight"">cooperative action</span>. In addition, contact groups and informal consultations took place throughout the day on a variety of issues, including the <span class=""highlight"">CDM</span>, <span class=""highlight"">Joint Implementation</span>, compliance, the Adaptation <span class=""highlight"">Fund</span>, and the second review of the Protocol under <span class=""highlight"">Article 9</span>. On Thursday evening, an informal meeting of ministers took place to give high-level consideration to outstanding issues."
investment,"UN Secretary-General Ban Ki-moon highlighted opportunities to address climate change and the current global financial crisis simultaneously, through green <span class=""highlight"">investments</span>, the creation of millions of jobs and a green new deal for all nations."
poverty,"Lech KacyÅ„ski, President of Poland, underscored the need to alleviate <span class=""highlight"">poverty</span> and address climate change, and highlighted the EU's leading role in combating climate change as one of the best expressions of <span class=""highlight"">solidarity</span>."
redd,"Bharrat Jagdeo, President of Guyana, said international efforts to address climate change remain woefully inadequate. He emphasized the need for greater efforts to incentivize <span class=""highlight"">low-carbon</span> economies and for a properly- designed <span class=""highlight"">REDD</span> mechanism."
funding|adaptation fund,"Apisai Ielemia, Prime Minister of Tuvalu, urged operationalization and accessibility of the Adaptation <span class=""highlight"">Fund</span>, labeling it as the survival <span class=""highlight"">fund</span> for <span class=""highlight"">SIDS</span>. He urged action by all major emitting countries, arguing that Tuvalu must not be allowed to <span class=""highlight"">sink</span> for other countries to rise."
adaptation actions|mitigation and adaptation|technology transfer|technology,"COUNTRY STATEMENTS:   More than 50 ministers and heads of delegation made statements.     Many     reaffirmed their commitment to an equitable and comprehensive <span class=""highlight"">post-2012</span> framework, and said the global financial crisis should be viewed as an opportunity rather than an impediment to action. Many also spoke about the importance of mid- and long-term targets and shifting to a <span class=""highlight"">low-carbon</span> economy. Some outlined domestic mitigation and <span class=""highlight"">adaptation actions</span>, and highlighted the need for <span class=""highlight"">technology</span> transfer and <span class=""highlight"">financial support</span>."
poverty,"France, for the EU, reaffirmed the EU's <span class=""highlight"">emission</span> target for 2020, urged a reaffirmation of multilateral will in PoznaÅ„, and highlighted linkages between climate change, <span class=""highlight"">biodiversity</span>, <span class=""highlight"">poverty</span> and inequality."
funding|lack of progress|adaptation fund|ldcs|1990 levels|reducing emissions|emission|gas|350 ppm|greenhouse gas concentrations,"Grenada, for AOSIS, expressed disappointment at <span class=""highlight"">lack of progress</span> on issues such as the Adaptation <span class=""highlight"">Fund</span>. Maldives, for the <span class=""highlight"">LDCs</span>, said a 2Â°C temperature rise would take the world into the danger zone. Both AOSIS and <span class=""highlight"">LDCs</span> urged a limit of 1.5Â°C temperature rise and <span class=""highlight"">greenhouse gas concentrations</span> of no more than <span class=""highlight"">350 ppm</span>, as well as 40% <span class=""highlight"">emission</span> reductions by developed countries by 2020 compared with <span class=""highlight"">1990 levels</span>."
shared vision,"Australia, for the UMBRELLA GROUP, said Copenhagen should produce a robust and resilient foundation to steer collective efforts, and welcomed discussions on a <span class=""highlight"">shared vision</span>. Algeria, for the AFRICAN GROUP, said two decades of negotiations had not produced the expected results, and developed countries were not meeting even the modest goals agreed in Kyoto."
redd|mrv,"SWITZERLAND said that, like the EU, his country would reduce <span class=""highlight"">emissions</span> by 20% by 2020 unilaterally, and by 30% if other developed countries take comparable action. INDONESIA proposed a workshop on <span class=""highlight"">MRV</span> and urged concrete actions on <span class=""highlight"">REDD</span>."
funding|adaptation fund,"GERMANY said current resources for the Adaptation <span class=""highlight"">Fund</span> are not adequate. He warned industrialized countries that they must stop playing word games and accept the <span class=""highlight"">IPCC</span>'s findings, or they would become a laughing stock."
redd|women|forestry,"CHINA outlined various domestic mitigation efforts and said any attempt to merge the dual negotiating tracks agreed in Bali would be detrimental and lead to a fruitless Copenhagen conference. The UK drew attention to a statement of intent on <span class=""highlight"">REDD</span> by various developing and developed countries planned for Friday, and highlighted the UK's contribution of Â£100 million for <span class=""highlight"">forestry</span> activities. FINLAND endorsed enhancing <span class=""highlight"">women</span>'s role as agents for change."
fuel|forestry,"SAUDI ARABIA highlighted <span class=""highlight"">CCS</span> and the impact of response measures on <span class=""highlight"">oil</span>- exporting developing countries. NEW ZEALAND proposed focusing first on the rules governing commitments before focusing on the commitments themselves, and urged further consideration of land management and <span class=""highlight"">forestry</span>."
cooperative action|shared vision|long-term cooperation|technology|technology transfer,"On Thursday afternoon and evening, ministers met for an informal round table on a <span class=""highlight"">shared vision</span> for long-term <span class=""highlight"">cooperative action</span>. Three clusters were considered: <span class=""highlight"">long-term cooperation</span> on mitigation; preparing for unavoidable climate change; and the architecture to deliver on finance and <span class=""highlight"">technology</span> transfer."
baselines|long-term cooperation|shared vision|reducing emissions|emission,"On <span class=""highlight"">long-term cooperation</span>, SOUTH AFRICA said a <span class=""highlight"">shared vision</span> should include stabilizing atmospheric <span class=""highlight"">emissions</span> and promoting sustainable <span class=""highlight"">development</span>, as well as balancing <span class=""highlight"">mitigation and adaptation</span>. He called on developed countries to commit to <span class=""highlight"">emission</span> reductions of 80-90% by 2050, as well as a mid-term target, in order for developing countries to consider deviation from the <span class=""highlight"">baseline</span> by 2020."
mitigation actions|shared vision,"AUSTRALIA outlined a <span class=""highlight"">shared vision</span> reflecting the need for all countries to decouple <span class=""highlight"">emissions</span> growth from economic <span class=""highlight"">development</span>. CHINA supported mid-term mitigation targets by developed countries as the basis for determining long- term mitigation goals, and stressed the right to develop as a fundamental and inalienable human right. COSTA RICA discussed nationally appropriate <span class=""highlight"">mitigation actions</span> and its intention to achieve carbon neutrality by 2021."
funding|advers effect policy|adaptation fund|adverse effects/impacts|sea level rise|international cooperation|technology|technology fund|environmentallyâ­sound technology,"On adaptation, PANAMA and others stressed the need to operationalize the Adaptation <span class=""highlight"">Fund</span>. IRELAND described the <span class=""highlight"">Fund</span> as exciting and innovative because direct access makes it unique and responsive. The BAHAMAS highlighted the need for early warning systems and <span class=""highlight"">environmentally-sound technologies</span>, insurance and scaled-up <span class=""highlight"">international cooperation</span> supported byâ€¯a multilateral <span class=""highlight"">technology</span> <span class=""highlight"">fund</span>. VIET NAM urged support from industrialized countries to combat <span class=""highlight"">sea-level</span> rise. SAUDI ARABIA highlighted adaptation to <span class=""highlight"">adverse effects</span> and response measures. BHUTAN said polluters should pay for adaptation financing. EGYPT proposed an adaptation committee of experts and NEPAL suggested a climate research center in the Himalayas."
financial mechanism|funding|forest|assigned amount units|technology transfer|technology,"On the architecture to deliver on finance and <span class=""highlight"">technology</span> transfer, the NETHERLANDS suggested combining the Mexican (Green <span class=""highlight"">Fund</span>) and Norwegian (auctioning of <span class=""highlight"">AAUs</span>) proposals, and said countries should pay according to capacity and contribution to global <span class=""highlight"">emissions</span>. With BELGIUM and SWITZERLAND, the NETHERLANDS underscored <span class=""highlight"">equity</span>, effectiveness and efficiency. BRAZIL supported non-market based <span class=""highlight"">financial mechanisms</span>, while POLAND supported enhancing the role of <span class=""highlight"">forests</span> in global <span class=""highlight"">carbon markets</span>."
funding|adaptation fund,"ADAPTATION <span class=""highlight"">FUND</span> (COP/MOP):   During informal consultations and a contact group, parties continued to discuss the issue of direct access by parties. A group of developing countries insisted on operationalizing direct access by parties in PoznaÅ„ by endowing the Board with legal capacity. No agreement was reached. Informal consultations continued into the evening."
article 9|flexibility|assigned amount units|flexibility mechanisms,"<span class=""highlight"">ARTICLE 9</span> REVIEW (COP/MOP):   Morning informal consultations focused on the issue of extending the share of proceeds, based on new text proposed by the Co-Chairs. Alternative proposals were put forward by one developing country, proposing a two percent levy upon issuance of <span class=""highlight"">AAUs</span>, and one group of developed countries, offering more general language. A contact group was held in the afternoon, and an expert drafting group worked throughout the day on the scope, effectiveness and functioning of the <span class=""highlight"">flexibility</span> mechanisms, with the Co-Chairs reporting quite a bit of progress."
baselines|cdm,"<span class=""highlight"">CDM</span> (COP/MOP):   Parties met in a contact group and informal consultations throughout the day. Areas of disagreement included enhancing objectivity concerning <span class=""highlight"">emission</span> <span class=""highlight"">baselines</span>. COLOMBIA, INDIA and SOUTH AFRICA opposed reference to benchmarks, with INDIA and others highlighting the need to avoid external standards. The EU, NEW ZEALAND, ARGENTINA and others eventually agreed to CHINA's proposal to request the <span class=""highlight"">CDM</span> Executive Board to simply enhance objectivity in the determination of <span class=""highlight"">emission</span> <span class=""highlight"">baselines</span>."
cdm|afforestation|reforestation,"Disagreement also persisted on bracketed text supported by BRAZIL on extending the eligibility criteria for <span class=""highlight"">afforestation</span>/<span class=""highlight"">reforestation</span> project activities and bracketed text supported by SAUDI ARABIA on the inclusion of <span class=""highlight"">CCS</span> under the <span class=""highlight"">CDM</span>."
cdm projects|cdm|ldcs,"Parties also disagreed on the <span class=""highlight"">CDM</span>'s regional and sub-regional distribution. COLOMBIA and SAUDI ARABIA opposed reference to <span class=""highlight"">LDCs</span>, <span class=""highlight"">SIDS</span> and Africa in text on facilitating work on methodologies in certain countries, while the EU and others supported it. SAUDI ARABIA rejected compromise language on significantly under-represented countries and areas. He also opposed differentiating among countries that have fewer than ten <span class=""highlight"">CDM</span> projects. Further attempts at reaching a compromise were not successful and informal consultations continued late into the evening."
shared vision|funding|adaptation fund|energy,"An infusion of new arrivals for the high-level segment added <span class=""highlight"">energy</span> to the corridors on Thursday morning. However, some of the enthusiasm seemed to have waned by Thursday evening, at least among those following the plenary discussions. The much-anticipated ministerial on a <span class=""highlight"">shared vision</span> did not garner as much praise as some had hoped. While several participants were buzzing about the strong calls to operationalize the Adaptation <span class=""highlight"">Fund</span>, others seemed to find it relatively uninspiring: In spite of the best efforts of the Chair and some others, the discussions seemed a bit flat and repetitive, was the verdict of one delegate."
bali action plan,"The conference marks the culmination of a two-year negotiating process to enhance international climate change cooperation under the <span class=""highlight"">Bali Roadmap</span>, adopted by COP 13 in December 2007. At the UN Secretary- General's Climate Change Summit in New York in September 2009, over 100 world leaders called for a comprehensive, ambitious and fair international climate change deal to be agreed in Copenhagen. More than one hundred world leaders are also expected to attend the joint COP and COP/MOP high-level segment from 16-18 December."
future commitments|kyoto protocol,"COP 15 and COP/MOP 5 will be held in conjunction with the thirty-first sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA 31) and the Subsidiary Body for Implementation (SBI 31), the tenth session of the _Ad Hoc_ Working Group on <span class=""highlight"">Further Commitments</span> for Annex I Parties under the <span class=""highlight"">Kyoto Protocol</span> (AWG-KP 10) and the eighth session of the _Ad Hoc_ Working Group on Long-term <span class=""highlight"">Cooperative Action</span> under the UNFCCC (AWG-LCA 8)."
gas,"The international political response to climate change began with the adoption of the UNFCCC in 1992, setting out a framework for action aimed at stabilizing atmospheric concentrations of greenhouse <span class=""highlight"">gases</span> to avoid <span class=""highlight"">dangerous anthropogenic interference</span> with the climate system. The UNFCCC entered into force on 21 March 1994 and now has 194 parties."
1990 levels|reducing emissions|emission|gas|economies in transition|kyoto protocol,"In December 1997, delegates at COP 3 in Kyoto, Japan, agreed to a Protocol to the UNFCCC committing industrialized countries and <span class=""highlight"">countries in transition</span> to a market economy to achieve <span class=""highlight"">emission</span> reduction targets. These countries, known under the UNFCCC as Annex I parties, agreed to reduce their overall <span class=""highlight"">emissions</span> of six greenhouse <span class=""highlight"">gases</span> by an average of 5.2% below <span class=""highlight"">1990 levels</span> between 2008-2012 (the first commitment period), with specific targets varying from country to country. The <span class=""highlight"">Kyoto Protocol</span> entered into force on 16 February 2005 and currently has 190 parties."
long-term cooperation|bali action plan|cooperative action|shared vision,"<span class=""highlight"">BALI ROADMAP</span>:   COP 13 and COP/MOP 3 took place in December 2007, in Bali, Indonesia. The focus was on long-term issues and the negotiations resulted in the adoption of the <span class=""highlight"">Bali Action Plan</span> (<span class=""highlight"">BAP</span>), establishing the AWG-LCA with a mandate to focus on key elements of <span class=""highlight"">long-term cooperation</span> identified during the Convention Dialogue, namely: mitigation; adaptation; finance; and <span class=""highlight"">technology</span> and capacity building. The <span class=""highlight"">BAP</span> also called for articulating a <span class=""highlight"">shared vision</span> for long-term <span class=""highlight"">cooperative action</span>, including a long-term global goal for <span class=""highlight"">emission</span> reductions."
bali action plan,"Parties agreed on a two-year negotiating process, the <span class=""highlight"">Bali Roadmap</span>, which included tracks under the Convention and the Protocol and set a deadline for concluding the negotiations in Copenhagen. The two key bodies under the <span class=""highlight"">Bali Roadmap</span> are the AWG-LCA and the AWG-KP, which held four negotiation sessions in 2008: April in Bangkok, Thailand; June in Bonn, Germany; August in Accra, Ghana; and December in PoznaÅ„, Poland."
land-use change|land use|forestry|lulucf|flexibility mechanisms|kyoto protocol|flexibility|future commitments,"AWG-KP 7 focused on <span class=""highlight"">emission</span> reductions by Annex I parties under the <span class=""highlight"">Kyoto Protocol</span> beyond 2012 and on legal issues, including possible Protocol amendments. The AWG-KP also considered <span class=""highlight"">potential consequences</span> of response measures and the other issues in its work programme (FCCC/KP/AWG/2008/8), namely: <span class=""highlight"">flexibility</span> mechanisms; <span class=""highlight"">land use</span>, <span class=""highlight"">land-use</span> change and <span class=""highlight"">forestry</span> (<span class=""highlight"">LULUCF</span>); and methodological issues. The AWG-KP requested its Chair John Ashe (Antigua and Barbuda) to prepare two documents for its next session: a proposal for Protocol amendments under Article 3.9 (Annex I parties' <span class=""highlight"">further commitments</span>); and a text on other issues."
bali action plan,"AWG-LCA 6 &amp; AWG-KP 8:   From 1-12 June 2009, AWG-LCA 6 and AWG-KP 8 convened in Bonn, Germany, in conjunction with the 30th sessions of the SBI and SBSTA. AWG-LCA 6 concentrated on developing negotiating text, using a Chair's draft (FCCC/AWGLCA/2009/8) as the starting point. Parties clarified and developed their proposals and the main outcome was a revised negotiating text (FCCC/AWGLCA/2009/INF.1), which was nearly 200 pages long and covered all the main elements of the <span class=""highlight"">BAP</span>. AWG-KP 8 focused on Annex I parties' aggregate and individual <span class=""highlight"">emission</span> reduction targets. It agreed to continue discussions on these as well as on the other issues based on documentation prepared by the AWG-KP Chair."
vulnerable|most vulnerable,"CLIMATE <span class=""highlight"">VULNERABLE</span> FORUM:   The Maldives hosted a high- level forum from 9-10 November 2009, with a view to drawing attention to the specific challenges and needs of countries that are most <span class=""highlight"">vulnerable</span> to climate change. The meeting developed a declaration to be presented in Copenhagen, signed by Bangladesh, Barbados, Bhutan, Ethiopia, Ghana, Kenya, Kiribati, Maldives, Nepal, Rwanda, Tanzania and Viet Nam."
energy,"ASSOCIATION OF SOUTHEAST ASIAN NATIONS (ASEAN) AND THE US LEADERS' MEETING:   ASEAN and the US held their first Leaders' Meeting on 15 November 2009, in Singapore, also addressing climate change and <span class=""highlight"">energy</span>. In their joint declaration, the leaders agreed to work closely to ensure that the outcome in Copenhagen incorporates long-term <span class=""highlight"">cooperative actions</span> to address climate change. Recognizing the critical <span class=""highlight"">importance of adaptation</span>, they also agreed to strengthen collaboration in research on climate impacts and in the <span class=""highlight"">development</span> and implementation of appropriate <span class=""highlight"">policies and measures</span>."
bali action plan|building blocks,"PRE-COP 15:   Forty ministers responsible for the environment and climate met in Copenhagen, Denmark, from 16-17 November 2009, to prepare for COP 15. After the meeting Connie Hedegaard, the incoming COP President from Denmark, highlighted the meeting as very constructive. She said Copenhagen must with credibility set the world on a path to limiting global average temperature increase to no more than 2Â°C; deliver on all <span class=""highlight"">building blocks</span> of the <span class=""highlight"">BAP</span>; and develop a mandate and a near-term deadline to turn the outcome into a <span class=""highlight"">legally-binding instrument</span>."
funding,"COMMONWEALTH HEADS OF GOVERNMENT MEETING:   Leaders of Commonwealth countries convened from 27-29 November in Port of Spain, Trinidad and Tobago, for the biannual Commonwealth Heads of Government Meeting. They were joined by UN Secretary-General Ban Ki-moon, French President Nicolas Sarkozy and Danish Prime Minister Lars Lokke Rasmussen. Focusing on climate change, they issued a declaration stating that only a few short years remain to address the climate threat and that an internationally <span class=""highlight"">legally-binding agreement</span> is essential. They also, _inter alia_, welcomed the initiative to establish a Copenhagen Launch <span class=""highlight"">Fund</span> for developing countries, to start in 2010 and build to US$10 billion per year by 2012."
bali action plan,"AWG-LCA 8 has agreed to work through one contact group. It is expected to draft texts on all the elements of the <span class=""highlight"">BAP</span> for consideration by the COP. It is also expected to discuss the legal nature of the agreed outcome on which parties have expressed differing views throughout 2009."
reducing emissions|emission,"AWG-KP 10 is expected to continue working through four contact groups on Annex I <span class=""highlight"">emission</span> reductions, other matters, <span class=""highlight"">potential consequences</span> and legal matters. The emphasis of the AWG-KP's work is expected to be on Annex I <span class=""highlight"">emission</span> reductions. All groups are expected to focus on preparing draft COP/MOP decisions or Protocol amendments."
cdm|funding|adaptation fund,"The COP/MOP agenda includes the AWG-KP's report and consideration of proposals by parties to amend the <span class=""highlight"">Kyoto Protocol</span>. The COP/MOP will also consider issues such as the <span class=""highlight"">Clean Development Mechanism</span> (<span class=""highlight"">CDM</span>), <span class=""highlight"">joint implementation</span> (<span class=""highlight"">JI</span>), the Adaptation <span class=""highlight"">Fund</span> and compliance."
